LGA_2011,Local Government Areas - 2011,INDEX_TYPE,Index Type,MEASURE,Measure,Value
10050,Albury (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,967
10050,Albury (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,628
10050,Albury (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1169
10050,Albury (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,47851
10110,Armidale Dumaresq (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,985
10110,Armidale Dumaresq (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,727
10110,Armidale Dumaresq (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1120
10110,Armidale Dumaresq (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,24122
10150,Ashfield (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,1031
10150,Ashfield (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,926
10150,Ashfield (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1124
10150,Ashfield (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,41216
10200,Auburn (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,944
10200,Auburn (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,759
10200,Auburn (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1183
10200,Auburn (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,73744
10250,Ballina (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,980
10250,Ballina (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,494
