Application Number,Voucher Number,Child Age (at time of Application),Gender,Has your child played sport before?,Participation Activity,Club Name,Club Suburb/Town,Club Local Government Area Name,Club State Electoral District  Name,Parent Suburb/Town,Total Payment
2000012253,Q89QDUXP,10,,Yes,*Other,Queensland Police-Citizens Youth Welfare Association,Airlie Beach,Whitsunday (R),Whitsunday,Jubilee Pocket,60.01
2000001727,593F6Y41,5,,No,*Other,Guides Queensland,Windsor,Brisbane (C),Brisbane Central,Leichhardt,150
2000013464,PH2R4RTT,5,,No,*Other,Guides Queensland,Windsor,Brisbane (C),Brisbane Central,Woodridge,150
2000009270,035SE2H5,5,,Yes,*Other,Guides Queensland,Windsor,Brisbane (C),Brisbane Central,Yatala,150
2000007273,NP6C4729,6,,No,*Other,Guides Queensland,Windsor,Brisbane (C),Brisbane Central,Alexandra Hills,150
2000007910,NCX1PDN3,8,,No,*Other,Guides Queensland,Windsor,Brisbane (C),Brisbane Central,Salisbury,150
2000004074,P4RJYRWF,9,,No,*Other,Guides Queensland,Windsor,Brisbane (C),Brisbane Central,Caloundra,150
2000006519,KBWK8ZDS,9,,No,*Other,Wynnum & District Horse & Pony Club Inc,Tingalpa,Brisbane (C),Lytton,Capalaba,150
2000004081,ERXPFH2D,10,,No,*Other,Guides Queensland,Windsor,Brisbane (C),Brisbane Central,Caloundra,150
2000013359,2VWMJK9G,11,,Yes,*Other,Guides Queensland,Windsor,Brisbane (C),Brisbane Central,Sippy Downs,150
2000005110,4OQJV7PT,12,,No,*Other,Guides Queensland,Windsor,Brisbane (C),Brisbane Central,Caloundra West,150
2000005961,JTRMVYUB,15,,No,*Other,Guides Queensland,Windsor,Brisbane (C),Brisbane Central,Caboolture,150
2000009610,VU1BUK90,16,,Yes,*Other,Kurrawa Surf Life Saving Club Inc,Broadbeach,Gold Coast (C),Surfers Paradise,Broadbeach Waters,150
2000010829,X784DOAP,12,,Yes,Archery,Hinchinbrook Bowmen Inc,Ingham,Hinchinbrook (S),Hinchinbrook,Ingham,40
2000011952,LZIRY6XS,7,,No,Archery,Gympie Field Archers Association Inc,Imbil,Gympie (R),Gympie,The Palms,130
2000006332,DH5FNQKS,9,,No,Archery,Gympie Field Archers Association Inc,Imbil,Gympie (R),Gympie,Curra,130
2000006325,NPKP5E1X,10,,No,Archery,Gympie Field Archers Association Inc,Imbil,Gympie (R),Gympie,Curra,130
2000001140,X332JQI2,14,,Yes,Archery,Gympie Field Archers Association Inc,Imbil,Gympie (R),Gympie,Cooran,130
2000002670,YBI0IDYO,15,,No,Archery,Grange Company of Target Archers Inc,Samford Valley,Moreton Bay (R),Ferny Grove,Mount Archer,146
2000000707,9N4H4NYD,13,,No,Archery,Queensland Police-Citizens Youth Welfare Association,Aitkenvale,Townsville (C),Mundingburra,Kirwan,150
2000011845,GZOE8VU1,6,,No,Athletics,Barcoo Athletics Club Inc,Blackall,Blackall Tambo (R),Gregory,Blackall,55
2000011828,6VG6EHFZ,8,,Yes,Athletics,Barcoo Athletics Club Inc,Blackall,Blackall Tambo (R),Gregory,Blackall,55
2000009350,UOVVZ03I,11,,Yes,Athletics,Charters Towers Athletic Club Incorporated,Charters Towers,Charters Towers (R),Dalrymple,Broughton,60
2000009343,3CAQTZ67,6,,No,Athletics,Charters Towers Athletic Club Incorporated,Charters Towers,Charters Towers (R),Dalrymple,Broughton,70
2000002457,KCAJLERK,8,,No,Athletics,Caboolture Branch Little Athletics Centre Inc,Caboolture,Moreton Bay (R),Morayfield,Bellmere,76.5
2000003917,BK0CNOMX,10,,Yes,Athletics,Gin Gin Branch Little Athletics Centre Inc,Gin Gin,Bundaberg (R),Callide,Wallaville,85
2000003911,GGX51ZCH,12,,Yes,Athletics,Gin Gin Branch Little Athletics Centre Inc,Gin Gin,Bundaberg (R),Callide,Wallaville,85
2000001199,YHMJT541,14,,Yes,Athletics,Gin Gin Branch Little Athletics Centre Inc,Gin Gin,Bundaberg (R),Callide,Bucca,85
2000013301,R5FN9ZLR,7,,Yes,Athletics,Herbert River Athletic Club Inc,Ingham,Hinchinbrook (S),Hinchinbrook,Ingham,90
2000005011,DMI4ZNPM,6,,No,Athletics,Ipswich Branch Little Athletics Centre Incorporated,Ipswich,Ipswich (C),Ipswich,Leichhardt,100
2000001251,9Y4JT3I1,6,,Yes,Athletics,Tablelands Branch Little Athletics Centre Inc,Tolga,Tablelands (R),Dalrymple,Biboohra,105
2000001211,86PZETFL,9,,Yes,Athletics,Tablelands Branch Little Athletics Centre Inc,Tolga,Tablelands (R),Dalrymple,Biboohra,105
2000001135,VRM08SD8,11,,Yes,Athletics,Tablelands Branch Little Athletics Centre Inc,Tolga,Tablelands (R),Dalrymple,Biboohra,105
2000005623,5GVXRX45,15,,Yes,Athletics,Tablelands Branch Little Athletics Centre Inc,Tolga,Tablelands (R),Dalrymple,Atherton,105
2000001008,YW6584T0,6,,No,Athletics,Caboolture Branch Little Athletics Centre Inc,Caboolture,Moreton Bay (R),Morayfield,Bellmere,109
2000011943,LNOHUZF4,11,,Yes,Athletics,Moura Branch Little Athletics Centre Inc,Bauhinia,Central Highlands (R),Gregory,Moura,130
2000011945,JAA8RXME,11,,Yes,Athletics,Moura Branch Little Athletics Centre Inc,Bauhinia,Central Highlands (R),Gregory,Moura,130
2000009757,T64TTUA8,6,,No,Athletics,Douglas Shire Branch Little Athletics Centre Inc,Mossman,Douglas (S),Cook,Wonga,140
2000002805,3RYV3XQ3,6,,No,Athletics,Mulgrave Branch Little Athletics Centre Inc,Gordonvale,Cairns (R),Mulgrave,Redlynch,140
2000007535,JVZYJA9R,6,,Yes,Athletics,Mulgrave Branch Little Athletics Centre Inc,Gordonvale,Cairns (R),Mulgrave,White Rock,140
2000007197,2EZFMXPV,6,,Yes,Athletics,Townsville North Star Athletics Club Inc,Currajong,Townsville (C),Townsville,West End,140
2000005556,VQA74I67,7,,Yes,Athletics,Townsville North Star Athletics Club Inc,Currajong,Townsville (C),Townsville,Aitkenvale,140
2000009755,EB8B0ZCD,8,,No,Athletics,Douglas Shire Branch Little Athletics Centre Inc,Mossman,Douglas (S),Cook,Wonga,140
2000002808,0NL6AJ1V,8,,Yes,Athletics,Mulgrave Branch Little Athletics Centre Inc,Gordonvale,Cairns (R),Mulgrave,Redlynch,140
2000005553,JGLINLXU,8,,Yes,Athletics,Townsville North Star Athletics Club Inc,Currajong,Townsville (C),Townsville,Aitkenvale,140
2000002811,CZX1OLKN,9,,Yes,Athletics,Mulgrave Branch Little Athletics Centre Inc,Gordonvale,Cairns (R),Mulgrave,Redlynch,140
2000009754,AOQ0LINI,10,,No,Athletics,Douglas Shire Branch Little Athletics Centre Inc,Mossman,Douglas (S),Cook,Wonga,140
2000002510,CSDTD8NA,12,,Yes,Athletics,Douglas Shire Branch Little Athletics Centre Inc,Mossman,Douglas (S),Cook,Daintree,140
2000002863,AKVJQQ47,12,,Yes,Athletics,Mulgrave Branch Little Athletics Centre Inc,Gordonvale,Cairns (R),Mulgrave,Edmonton,140
2000009467,M8AEJ3LK,14,,No,Athletics,Mulgrave Branch Little Athletics Centre Inc,Gordonvale,Cairns (R),Mulgrave,Mount Sheridan,140
2000002864,THA9N0PY,14,,Yes,Athletics,Mulgrave Branch Little Athletics Centre Inc,Gordonvale,Cairns (R),Mulgrave,Edmonton,140
2000001070,1T1172JI,5,,No,Athletics,Caboolture Branch Little Athletics Centre Inc,Caboolture,Moreton Bay (R),Morayfield,Bellmere,150
2000010999,ZVW0AOLY,5,,No,Athletics,Cairns Athletics Inc,Parramatta Park,Cairns (R),Cairns,Parramatta Park,150
2000012104,UEVS0QC4,5,,No,Athletics,Fast Track Athletics Inc,Daisy Hill,Logan (C),Springwood,Logan Central,150
2000002492,PO2HCG56,5,,No,Athletics,Wulguru Branch Little Athletics Centre Inc,Wulguru,Townsville (C),Burdekin,Kirwan,150
2000005162,WWPCL08I,6,,No,Athletics,Wulguru Branch Little Athletics Centre Inc,Wulguru,Townsville (C),Burdekin,Kirwan,150
2000012931,PSF3K3LT,6,,Yes,Athletics,Cairns Athletics Inc,Parramatta Park,Cairns (R),Cairns,Gordonvale,150
2000007770,CZ10FF5Z,7,,No,Athletics,Fast Track Athletics Inc,Daisy Hill,Logan (C),Springwood,Kingston,150
2000008102,9QXV06SH,7,,Yes,Athletics,Beenleigh Branch Little Athletics Centre Inc,Eagleby,Logan (C),Coomera,Eagleby,150
2000013162,R083T7GO,7,,Yes,Athletics,Cairns Athletics Inc,Parramatta Park,Cairns (R),Cairns,Manoora,150
2000002589,J5B8HZGI,7,,Yes,Athletics,Wulguru Branch Little Athletics Centre Inc,Wulguru,Townsville (C),Burdekin,Kirwan,150
2000010526,VC6KWX0J,8,,Yes,Athletics,Cairns Athletics Inc,Parramatta Park,Cairns (R),Cairns,Parramatta Park,150
2000012924,AM68KTRF,8,,Yes,Athletics,Cairns Athletics Inc,Parramatta Park,Cairns (R),Cairns,Gordonvale,150
2000007749,3TPNU8OB,8,,Yes,Athletics,Fast Track Athletics Inc,Daisy Hill,Logan (C),Springwood,Kingston,150
2000004392,7NW70BDX,8,,Yes,Athletics,Whitsunday Athletics Club Inc,Proserpine,Whitsunday (R),Whitsunday,Proserpine,150
2000007937,DE7V0UJE,9,,No,Athletics,Fast Track Athletics Inc,Daisy Hill,Logan (C),Springwood,Sunnybank,150
2000009459,C9RMLZA5,9,,Yes,Athletics,Cairns Athletics Inc,Parramatta Park,Cairns (R),Cairns,Mount Sheridan,150
2000000459,0GQTY9T8,9,,Yes,Athletics,Springwood Branch Little Athletics Centre Inc,Meadowbrook,Logan (C),Waterford,Slacks Creek,150
2000002597,41OCR218,9,,Yes,Athletics,Wulguru Branch Little Athletics Centre Inc,Wulguru,Townsville (C),Burdekin,Kirwan,150
2000008216,HX0GMFD5,10,,Yes,Athletics,Caboolture Branch Little Athletics Centre Inc,Caboolture,Moreton Bay (R),Morayfield,Morayfield,150
2000011001,08L84PLT,10,,Yes,Athletics,Cairns Athletics Inc,Parramatta Park,Cairns (R),Cairns,Parramatta Park,150
2000012964,Z26DQFJG,10,,Yes,Athletics,Springwood Branch Little Athletics Centre Inc,Meadowbrook,Logan (C),Waterford,Kuraby,150
2000002488,QIBC3DM7,10,,Yes,Athletics,Wulguru Branch Little Athletics Centre Inc,Wulguru,Townsville (C),Burdekin,Kirwan,150
2000011862,YO4N9VIH,10,,Yes,Athletics,Wulguru Branch Little Athletics Centre Inc,Wulguru,Townsville (C),Burdekin,Douglas,150
2000011870,0F2RKGJF,10,,Yes,Athletics,Wulguru Branch Little Athletics Centre Inc,Wulguru,Townsville (C),Burdekin,Douglas,150
2000005052,R7DRAHM9,11,,No,Athletics,Fast Track Athletics Inc,Daisy Hill,Logan (C),Springwood,Zillmere,150
2000005365,57WFVIKT,11,,No,Athletics,Fast Track Athletics Inc,Daisy Hill,Logan (C),Springwood,Sunnybank,150
2000007063,JWRDVSI4,11,,Yes,Athletics,Fast Track Athletics Inc,Daisy Hill,Logan (C),Springwood,Taigum,150
